

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
030.704  003.725  000.789: require('plugins.telescope')
031.182  000.019  000.019: require('toggleterm.lazy')
031.200  000.016  000.016: require('toggleterm.constants')
031.245  000.043  000.043: require('toggleterm.terminal')
031.249  000.350  000.272: require('toggleterm')
031.293  000.024  000.024: require('toggleterm.colors')
031.312  000.018  000.018: require('toggleterm.utils')
031.316  000.066  000.025: require('toggleterm.config')
031.376  000.053  000.053: require('vim.version')
032.111  000.036  000.036: require('toggleterm.commandline')
032.222  000.027  000.027: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline-themes/plugin/airline-themes.vim
032.422  000.042  000.042: sourcing /home/beicker/.local/share/nvim/lazy/vim-tmux-navigator/plugin/tmux_navigator.vim
032.506  000.027  000.027: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/editorconfig.lua
032.614  000.089  000.089: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/gzip.vim
032.635  000.004  000.004: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/health.vim
032.675  000.025  000.025: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/man.lua
032.897  000.097  000.097: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
032.926  000.234  000.137: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/matchit.vim
033.035  000.076  000.076: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/matchparen.vim
033.237  000.187  000.187: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/netrwPlugin.vim
033.279  000.026  000.026: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/nvim.lua
033.374  000.078  000.078: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/rplugin.vim
033.432  000.042  000.042: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/shada.vim
033.457  000.010  000.010: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/spellfile.vim
033.528  000.058  000.058: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/tarPlugin.vim
033.581  000.038  000.038: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/tohtml.vim
033.603  000.008  000.008: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/tutor.vim
033.698  000.071  000.071: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/plugin/zipPlugin.vim
033.940  000.163  000.163: sourcing /home/beicker/.local/share/nvim/lazy/indentLine/after/plugin/indentLine.vim
033.966  031.981  006.365: require('plugins.installations')
033.967  031.996  000.015: require('plugins.init')
034.008  000.040  000.040: require('lsp-config')
034.069  000.060  000.060: require('remaps')
034.079  032.213  000.028: sourcing /home/beicker/.config/nvim/init.lua
034.082  000.346: sourcing vimrc file(s)
034.256  000.018  000.018: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/filetype.lua
034.381  000.070  000.070: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/tabline/buffers.vim
034.485  000.041  000.041: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/syntax/synload.vim
034.620  000.231  000.190: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/syntax/syntax.vim
034.630  000.228: inits 3
036.470  001.840: reading ShaDa
037.148  000.024  000.024: require('cmp_nvim_lsp.source')
037.150  000.244  000.220: require('cmp_nvim_lsp')
037.162  000.309  000.064: sourcing /home/beicker/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
038.410  000.524  000.524: require('vim.filetype')
038.740  000.018  000.018: require('luasnip.util.types')
038.742  000.045  000.027: require('luasnip.util.ext_opts')
038.815  000.015  000.015: require('luasnip.util.lazy_table')
038.835  000.019  000.019: require('luasnip.extras.filetype_functions')
038.843  000.075  000.040: require('luasnip.default_config')
038.844  000.101  000.027: require('luasnip.session')
038.846  000.381  000.235: require('luasnip.config')
038.945  000.036  000.036: require('luasnip.util.util')
038.993  000.016  000.016: require('luasnip.nodes.key_indexer')
038.997  000.051  000.035: require('luasnip.nodes.util')
039.043  000.017  000.017: require('luasnip.session.snippet_collection.source')
039.060  000.016  000.016: require('luasnip.util.table')
039.084  000.023  000.023: require('luasnip.util.auto_table')
039.088  000.090  000.034: require('luasnip.session.snippet_collection')
039.159  000.022  000.022: require('luasnip.util.select')
039.190  000.030  000.030: require('luasnip.util.time')
039.412  000.302  000.250: require('luasnip.util._builtin_vars')
039.516  000.427  000.125: require('luasnip.util.environ')
